id,timestamp,feeTier,poolId,token0,token1,tickLower,tickUpper
"0x2d34e484147eaaf0ec0aa60978dc177e9f2b28c40b9a5b7ccbda28dc71704c45","1730416163","10000","0x286431024acfab509d5d6beb64066c52e205f460","WETH","ETHC","-887200","887200"
"0x0ad12f986a042c063031f5e48a8a541b7adf327f664784dc516611855310e125","1730416799","10000","0xf9bc02a0f79ee8b6982a754979c9dbd909ccee10","PORTAL","WETH","-91800","-91600"
"0xb12d83ff05e8493c00428db238b28a0d4bcd4e015217e7ca4ee323f1f0b4d16a","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xb70749eb3df2a1add67ef27b96850fb8a3af6b62c0963aa2a635eae6a6d77d4c","1730415707","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","197310","198920"
"0x637c27c4a14b10a54b89a179426d73863c79777a081b0d87a74c83a6b9117cd3","1730415755","10000","0x41e38b7db734b738eb4a77fd7e1d41af1f652291","WETH","GOG","-887200","887200"
"0xcb5d2e2979a03d16fab154ca95c63c344eeb1077d78b725ea114019b0ce9eba0","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0xf0cb3d942d54a3e8afd2b08a77411675afce6dba49710124c508b8b1918e70b8","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0xcafe365ada54fb755068a6ef9380b1dec0eeb80cfb387fa06e15f18a5aaffc5e","1730415875","10000","0xba2a013b29631d3277bbbce80c970d06c1bda0c3","RIO","WETH","-81400","-63600"
"0xd8f7aea2427c60be1859ef7b895cdd8dbff1f993fdb07b3baab550ab796ad18a","1730415863","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb12d83ff05e8493c00428db238b28a0d4bcd4e015217e7ca4ee323f1f0b4d16a","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xb70749eb3df2a1add67ef27b96850fb8a3af6b62c0963aa2a635eae6a6d77d4c","1730415707","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","197310","198920"
"0x637c27c4a14b10a54b89a179426d73863c79777a081b0d87a74c83a6b9117cd3","1730415755","10000","0x41e38b7db734b738eb4a77fd7e1d41af1f652291","WETH","GOG","-887200","887200"
"0xcb5d2e2979a03d16fab154ca95c63c344eeb1077d78b725ea114019b0ce9eba0","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0xf0cb3d942d54a3e8afd2b08a77411675afce6dba49710124c508b8b1918e70b8","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0xcafe365ada54fb755068a6ef9380b1dec0eeb80cfb387fa06e15f18a5aaffc5e","1730415875","10000","0xba2a013b29631d3277bbbce80c970d06c1bda0c3","RIO","WETH","-81400","-63600"
"0xd8f7aea2427c60be1859ef7b895cdd8dbff1f993fdb07b3baab550ab796ad18a","1730415863","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x2d34e484147eaaf0ec0aa60978dc177e9f2b28c40b9a5b7ccbda28dc71704c45","1730416163","10000","0x286431024acfab509d5d6beb64066c52e205f460","WETH","ETHC","-887200","887200"
"0x0ad12f986a042c063031f5e48a8a541b7adf327f664784dc516611855310e125","1730416799","10000","0xf9bc02a0f79ee8b6982a754979c9dbd909ccee10","PORTAL","WETH","-91800","-91600"
"0x637c27c4a14b10a54b89a179426d73863c79777a081b0d87a74c83a6b9117cd3","1730415755","10000","0x41e38b7db734b738eb4a77fd7e1d41af1f652291","WETH","GOG","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x2d34e484147eaaf0ec0aa60978dc177e9f2b28c40b9a5b7ccbda28dc71704c45","1730416163","10000","0x286431024acfab509d5d6beb64066c52e205f460","WETH","ETHC","-887200","887200"
"0x58fcdb1411ee88878ece522823c022cfb03d1e1048910aadd70dd5e9696f3885","1730416139","10000","0xb53af7e5ae3b6fdcfe861f88ddfa575e75caa012","TEE","WETH","82200","84200"
"0x43b3e40c73eeb4a384a211949a6adf9863405e6917f61156ec0c363066ed2e19","1730416283","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-199140","-194760"
"0x0ad12f986a042c063031f5e48a8a541b7adf327f664784dc516611855310e125","1730416799","10000","0xf9bc02a0f79ee8b6982a754979c9dbd909ccee10","PORTAL","WETH","-91800","-91600"
"0x419862b4c88d0c4337695c06021c9f054102c5fe6de8369655e10b7d1ed0d2de","1730416679","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x61c7ea4d71331638167727ec34a63ec9553a3efb7ff745586fb62d98b0d0e707","1730416595","10000","0x43e7ade137b86798654d8e78c36d5a556a647224","wQUIL","WETH","130000","132200"
"0x637c27c4a14b10a54b89a179426d73863c79777a081b0d87a74c83a6b9117cd3","1730415755","10000","0x41e38b7db734b738eb4a77fd7e1d41af1f652291","WETH","GOG","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x2d34e484147eaaf0ec0aa60978dc177e9f2b28c40b9a5b7ccbda28dc71704c45","1730416163","10000","0x286431024acfab509d5d6beb64066c52e205f460","WETH","ETHC","-887200","887200"
"0x58fcdb1411ee88878ece522823c022cfb03d1e1048910aadd70dd5e9696f3885","1730416139","10000","0xb53af7e5ae3b6fdcfe861f88ddfa575e75caa012","TEE","WETH","82200","84200"
"0x43b3e40c73eeb4a384a211949a6adf9863405e6917f61156ec0c363066ed2e19","1730416283","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-199140","-194760"
"0x0ad12f986a042c063031f5e48a8a541b7adf327f664784dc516611855310e125","1730416799","10000","0xf9bc02a0f79ee8b6982a754979c9dbd909ccee10","PORTAL","WETH","-91800","-91600"
"0x419862b4c88d0c4337695c06021c9f054102c5fe6de8369655e10b7d1ed0d2de","1730416679","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x61c7ea4d71331638167727ec34a63ec9553a3efb7ff745586fb62d98b0d0e707","1730416595","10000","0x43e7ade137b86798654d8e78c36d5a556a647224","wQUIL","WETH","130000","132200"
"0x3594f1c2b51a54ee3340da6c58ef2cff67b443ac3972c4041449dea095f2aa2f","1730416979","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-71800","-71600"
"0x392efc08704aedcd9dc168368887088ccbc6d22490f1a1c18cc6ff4c3000d391","1730416919","10000","0x2afeaf811fe57b72cb496e841113b020a5cf0d60","ESS","WETH","-116400","-102400"
